q and p lenght: 1000 bit

RSA module:  60734825805242835653488327621950767036493927238785971304491906428430930265122701573621543509397783621620446372112220882576820228199836970769075464899190961652122186750887262079500126517749025577550194815776509461624362909808343884978510766402781843384520972264347574811035557355049311148728482258038081930547473699351464415315378908739506567694998441071579615455574020122590530656494406090047689134118853951087140358379533302858362525227808307450988935074612175721587597556581101911641742270983078005731368616191581136175428063878885290681878443326846127666583769300140015945889228184208079788701753509
DEC CRT:  0.03560233116149902
DIFF:     -0.0016703605651855469

DEC STD:  0.03128218650817871
DEC CRT:  0.031253814697265625
DIFF:     2.8371810913085938e-05

DEC STD:  0.032998085021972656
DEC CRT:  0.03304696083068848
DIFF:     -4.887580871582031e-05

DEC STD:  0.023110151290893555
DEC CRT:  0.03125
DIFF:     -0.008139848709106445

DEC STD:  0.0350346565246582
DEC CRT:  0.0326998233795166
DIFF:     0.0023348331451416016

DEC STD:  0.03129124641418457
DEC CRT:  0.031269073486328125
DIFF:     2.2172927856445312e-05

DEC STD:  0.03024578094482422
DEC CRT:  0.031272172927856445
DIFF:     -0.0010263919830322266

DEC STD:  0.027948617935180664
DEC CRT:  0.031250953674316406
DIFF:     -0.003302335739135742

DEC STD:  0.02976083755493164
DEC CRT:  0.031249284744262695
DIFF:     -0.0014884471893310547

DEC STD:  0.023198366165161133
DEC CRT:  0.03128981590270996
DIFF:     -0.008091449737548828

DEC STD:  0.03496575355529785
DEC CRT:  0.03125357627868652
DIFF:     0.003712177276611328

DEC STD:  0.03189587593078613
DEC CRT:  0.03720545768737793
DIFF:     -0.005309581756591797

DEC STD:  0.01910710334777832
DEC CRT:  0.046912431716918945
DIFF:     -0.027805328369140625

DEC STD:  0.03399991989135742
DEC CRT:  0.034000396728515625
DIFF:     -4.76837158203125e-07

DEC STD:  0.0339658260345459
DEC CRT:  0.03601884841918945
DIFF:     -0.0020530223846435547

DEC STD:  0.030323028564453125
DEC CRT:  0.038462162017822266
DIFF:     -0.00813913345336914

DEC STD:  0.027220487594604492
DEC CRT:  0.03128647804260254
DIFF:     -0.004065990447998047

DEC STD:  0.027297258377075195
DEC CRT:  0.03128528594970703
DIFF:     -0.003988027572631836

DEC STD:  0.02200484275817871
DEC CRT:  0.045772552490234375
DIFF:     -0.023767709732055664

DEC STD:  0.020868778228759766
DEC CRT:  0.04550051689147949
DIFF:     -0.024631738662719727

DEC STD:  0.03399920463562012
DEC CRT:  0.03345680236816406
DIFF:     0.0005424022674560547

DEC STD:  0.019346237182617188
DEC CRT:  0.04756736755371094
DIFF:     -0.02822113037109375

DEC STD:  0.03407430648803711
DEC CRT:  0.03540825843811035
DIFF:     -0.0013339519500732422

DEC STD:  0.03499865531921387
DEC CRT:  0.03400087356567383
DIFF:     0.000997781753540039

DEC STD:  0.0251767635345459
DEC CRT:  0.03125119209289551
DIFF:     -0.006074428558349609

DEC STD:  0.020860671997070312
DEC CRT:  0.04684042930603027
DIFF:     -0.02597975730895996

DEC STD:  0.03438401222229004
DEC CRT:  0.03129243850708008
DIFF:     0.003091573715209961

DEC STD:  0.030924081802368164
DEC CRT:  0.031248807907104492
DIFF:     -0.0003247261047363281

DEC STD:  0.033379554748535156
DEC CRT:  0.0267031192779541
DIFF:     0.006676435470581055

DEC STD:  0.03178000450134277
DEC CRT:  0.03128528594970703
DIFF:     0.0004947185516357422

DEC STD:  0.028866052627563477
DEC CRT:  0.031250953674316406
DIFF:     -0.0023849010467529297

DEC STD:  0.033968210220336914
DEC CRT:  0.024705171585083008
DIFF:     0.009263038635253906

DEC STD:  0.024428129196166992
DEC CRT:  0.03128862380981445
DIFF:     -0.006860494613647461

DEC STD:  0.022258281707763672
DEC CRT:  0.04557013511657715
DIFF:     -0.023311853408813477

DEC STD:  0.034171104431152344
DEC CRT:  0.034961700439453125
DIFF:     -0.0007905960083007812

DEC STD:  0.03233814239501953
DEC CRT:  0.03125
DIFF:     0.0010881423950195312

DEC STD:  0.029862403869628906
DEC CRT:  0.031249523162841797
DIFF:     -0.0013871192932128906

DEC STD:  0.034999847412109375
DEC CRT:  0.027117252349853516
DIFF:     0.00788259506225586

DEC STD:  0.033997535705566406
DEC CRT:  0.03399848937988281
DIFF:     -9.5367431640625e-07

DEC STD:  0.040029048919677734
DEC CRT:  0.03500699996948242
DIFF:     0.0050220489501953125

DEC STD:  0.03400015830993652
DEC CRT:  0.019888877868652344
DIFF:     0.01411128044128418

DEC STD:  0.01889944076538086
DEC CRT:  0.034423112869262695
DIFF:     -0.015523672103881836

DEC STD:  0.0281524658203125
DEC CRT:  0.031285762786865234
DIFF:     -0.0031332969665527344

DEC STD:  0.028662919998168945
DEC CRT:  0.031250953674316406
DIFF:     -0.002588033676147461

DEC STD:  0.03421807289123535
DEC CRT:  0.023394107818603516
DIFF:     0.010823965072631836

DEC STD:  0.02343893051147461
DEC CRT:  0.04579973220825195
DIFF:     -0.022360801696777344

DEC STD:  0.043959856033325195
DEC CRT:  0.04001879692077637
DIFF:     0.003941059112548828

DEC STD:  0.03500032424926758
DEC CRT:  0.03399944305419922
DIFF:     0.0010008811950683594

DEC STD:  0.034011125564575195
DEC CRT:  0.03403615951538086
DIFF:     -2.5033950805664062e-05

DEC STD:  0.03599905967712402
DEC CRT:  0.03399944305419922
DIFF:     0.0019996166229248047

DEC STD:  0.03599262237548828
DEC CRT:  0.03400063514709473
DIFF:     0.0019919872283935547

DEC STD:  0.03300118446350098
DEC CRT:  0.03499865531921387
DIFF:     -0.0019974708557128906

DEC STD:  0.03800153732299805
DEC CRT:  0.03500247001647949
DIFF:     0.0029990673065185547

DEC STD:  0.03696393966674805
DEC CRT:  0.03403353691101074
DIFF:     0.0029304027557373047

DEC STD:  0.040038347244262695
DEC CRT:  0.037966012954711914
DIFF:     0.0020723342895507812

DEC STD:  0.0359649658203125
DEC CRT:  0.03896379470825195
DIFF:     -0.002998828887939453

DEC STD:  0.029798507690429688
DEC CRT:  0.03128647804260254
DIFF:     -0.0014879703521728516

DEC STD:  0.033577680587768555
DEC CRT:  0.03499913215637207
DIFF:     -0.0014214515686035156

DEC STD:  0.03503227233886719
DEC CRT:  0.03500223159790039
DIFF:     3.0040740966796875e-05

DEC STD:  0.03496670722961426
DEC CRT:  0.034995317459106445
DIFF:     -2.86102294921875e-05

DEC STD:  0.03699159622192383
DEC CRT:  0.03500819206237793
DIFF:     0.0019834041595458984

DEC STD:  0.03496670722961426
DEC CRT:  0.035002708435058594
DIFF:     -3.600120544433594e-05

TOT.:  -0.32387733459472656
